turn_id	model	value	annotator35	annotator49	annotator65
cast-132-1-3	generated-alpaca-7b-treccast-none-none	not_generic	1	1	0
cast-132-1-3	generated-alpaca-7b-treccast-none-none	valid	1	1	1
cast-132-1-3	generated-alpaca-7b-treccast-none-none	related	0	0	1
cast-132-1-3	generated-alpaca-7b-treccast-none-none	informative	1	1	1
cast-132-1-3	generated-alpaca-7b-treccast-none-none	naive	1	0	1
cast-132-1-3	generated-alpaca-7b-treccast-none-none	savvy	0	0	0
cast-132-1-3	generated-alpaca-7b-treccast-none-none	reasons	0	0	0
cast-132-1-3	generated-alpaca-7b-treccast-none-none	implications	0	0	0
cast-132-1-3	generated-alpaca-7b-inquisitive-none-none	not_generic	1	1	1
cast-132-1-3	generated-alpaca-7b-inquisitive-none-none	valid	1	1	1
cast-132-1-3	generated-alpaca-7b-inquisitive-none-none	related	1	1	1
cast-132-1-3	generated-alpaca-7b-inquisitive-none-none	informative	0	0	0
cast-132-1-3	generated-alpaca-7b-inquisitive-none-none	naive	1	1	1
cast-132-1-3	generated-alpaca-7b-inquisitive-none-none	savvy	0	0	0
cast-132-1-3	generated-alpaca-7b-inquisitive-none-none	reasons	0	0	0
cast-132-1-3	generated-alpaca-7b-inquisitive-none-none	implications	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-treccast-none-none	not_generic	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-treccast-none-none	valid	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-treccast-none-none	related	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-treccast-none-none	informative	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-treccast-none-none	naive	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-treccast-none-none	savvy	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-treccast-none-none	reasons	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-treccast-none-none	implications	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-none-none-none	not_generic	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-none-none-none	valid	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-none-none-none	related	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-none-none-none	informative	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-none-none-none	naive	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-none-none-none	savvy	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-none-none-none	reasons	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-none-none-none	implications	0	0	0
cast-132-1-3	generated-gpt-4-none-naive-implications	not_generic	1	1	1
cast-132-1-3	generated-gpt-4-none-naive-implications	valid	1	1	1
cast-132-1-3	generated-gpt-4-none-naive-implications	related	1	1	1
cast-132-1-3	generated-gpt-4-none-naive-implications	informative	0	0	0
cast-132-1-3	generated-gpt-4-none-naive-implications	naive	0	0	0
cast-132-1-3	generated-gpt-4-none-naive-implications	savvy	1	1	1
cast-132-1-3	generated-gpt-4-none-naive-implications	reasons	0	0	0
cast-132-1-3	generated-gpt-4-none-naive-implications	implications	0	0	0
cast-132-1-3	generated-alpaca-7b-none-naive-reasons	not_generic	1	1	1
cast-132-1-3	generated-alpaca-7b-none-naive-reasons	valid	1	1	1
cast-132-1-3	generated-alpaca-7b-none-naive-reasons	related	1	1	1
cast-132-1-3	generated-alpaca-7b-none-naive-reasons	informative	1	1	1
cast-132-1-3	generated-alpaca-7b-none-naive-reasons	naive	0	0	0
cast-132-1-3	generated-alpaca-7b-none-naive-reasons	savvy	1	0	0
cast-132-1-3	generated-alpaca-7b-none-naive-reasons	reasons	0	1	1
cast-132-1-3	generated-alpaca-7b-none-naive-reasons	implications	0	0	0
cast-132-1-3	generated-gpt-4-none-none-none	not_generic	1	1	1
cast-132-1-3	generated-gpt-4-none-none-none	valid	1	1	1
cast-132-1-3	generated-gpt-4-none-none-none	related	1	1	1
cast-132-1-3	generated-gpt-4-none-none-none	informative	1	0	0
cast-132-1-3	generated-gpt-4-none-none-none	naive	0	0	0
cast-132-1-3	generated-gpt-4-none-none-none	savvy	0	1	0
cast-132-1-3	generated-gpt-4-none-none-none	reasons	0	0	0
cast-132-1-3	generated-gpt-4-none-none-none	implications	0	0	0
cast-132-1-3	generated-alpaca-7b-none-naive-implications	not_generic	1	1	1
cast-132-1-3	generated-alpaca-7b-none-naive-implications	valid	0	1	0
cast-132-1-3	generated-alpaca-7b-none-naive-implications	related	1	1	1
cast-132-1-3	generated-alpaca-7b-none-naive-implications	informative	1	1	1
cast-132-1-3	generated-alpaca-7b-none-naive-implications	naive	0	0	0
cast-132-1-3	generated-alpaca-7b-none-naive-implications	savvy	1	0	0
cast-132-1-3	generated-alpaca-7b-none-naive-implications	reasons	0	0	0
cast-132-1-3	generated-alpaca-7b-none-naive-implications	implications	0	1	1
cast-132-1-3	generated-Llama-2-13b-hf-none-naive-reasons	not_generic	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-none-naive-reasons	valid	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-none-naive-reasons	related	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-none-naive-reasons	informative	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-none-naive-reasons	naive	1	0	0
cast-132-1-3	generated-Llama-2-13b-hf-none-naive-reasons	savvy	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-none-naive-reasons	reasons	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-none-naive-reasons	implications	0	0	0
cast-132-1-3	generated-gpt-4-none-savvy-implications	not_generic	1	1	1
cast-132-1-3	generated-gpt-4-none-savvy-implications	valid	1	1	1
cast-132-1-3	generated-gpt-4-none-savvy-implications	related	1	1	1
cast-132-1-3	generated-gpt-4-none-savvy-implications	informative	0	0	0
cast-132-1-3	generated-gpt-4-none-savvy-implications	naive	0	0	0
cast-132-1-3	generated-gpt-4-none-savvy-implications	savvy	1	1	1
cast-132-1-3	generated-gpt-4-none-savvy-implications	reasons	0	0	0
cast-132-1-3	generated-gpt-4-none-savvy-implications	implications	0	0	0
cast-132-1-3	generated-Llama-2-7b-hf-inquisitive-none-none	not_generic	1	1	1
cast-132-1-3	generated-Llama-2-7b-hf-inquisitive-none-none	valid	1	1	1
cast-132-1-3	generated-Llama-2-7b-hf-inquisitive-none-none	related	1	1	1
cast-132-1-3	generated-Llama-2-7b-hf-inquisitive-none-none	informative	0	0	0
cast-132-1-3	generated-Llama-2-7b-hf-inquisitive-none-none	naive	1	0	0
cast-132-1-3	generated-Llama-2-7b-hf-inquisitive-none-none	savvy	0	0	0
cast-132-1-3	generated-Llama-2-7b-hf-inquisitive-none-none	reasons	1	0	1
cast-132-1-3	generated-Llama-2-7b-hf-inquisitive-none-none	implications	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-naive-reasons	not_generic	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-naive-reasons	valid	0	1	1
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-naive-reasons	related	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-naive-reasons	informative	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-naive-reasons	naive	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-naive-reasons	savvy	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-naive-reasons	reasons	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-naive-reasons	implications	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-nudged-questions-none-none	not_generic	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-nudged-questions-none-none	valid	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-nudged-questions-none-none	related	1	0	1
cast-132-1-3	generated-Llama-2-13b-hf-nudged-questions-none-none	informative	1	1	0
cast-132-1-3	generated-Llama-2-13b-hf-nudged-questions-none-none	naive	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-nudged-questions-none-none	savvy	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-nudged-questions-none-none	reasons	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-nudged-questions-none-none	implications	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-savvy-implications	not_generic	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-savvy-implications	valid	0	1	1
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-savvy-implications	related	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-savvy-implications	informative	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-savvy-implications	naive	1	0	0
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-savvy-implications	savvy	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-savvy-implications	reasons	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-savvy-implications	implications	0	0	0
cast-132-1-3	generated-Llama-2-7b-hf-nudged-questions-none-none	not_generic	1	1	1
cast-132-1-3	generated-Llama-2-7b-hf-nudged-questions-none-none	valid	1	1	1
cast-132-1-3	generated-Llama-2-7b-hf-nudged-questions-none-none	related	1	1	1
cast-132-1-3	generated-Llama-2-7b-hf-nudged-questions-none-none	informative	0	0	0
cast-132-1-3	generated-Llama-2-7b-hf-nudged-questions-none-none	naive	1	0	0
cast-132-1-3	generated-Llama-2-7b-hf-nudged-questions-none-none	savvy	0	0	0
cast-132-1-3	generated-Llama-2-7b-hf-nudged-questions-none-none	reasons	0	0	0
cast-132-1-3	generated-Llama-2-7b-hf-nudged-questions-none-none	implications	0	0	0
cast-132-1-3	generated-Llama-2-7b-hf-none-none-none	not_generic	1	1	1
cast-132-1-3	generated-Llama-2-7b-hf-none-none-none	valid	0	1	0
cast-132-1-3	generated-Llama-2-7b-hf-none-none-none	related	1	1	1
cast-132-1-3	generated-Llama-2-7b-hf-none-none-none	informative	0	1	0
cast-132-1-3	generated-Llama-2-7b-hf-none-none-none	naive	1	1	1
cast-132-1-3	generated-Llama-2-7b-hf-none-none-none	savvy	0	0	0
cast-132-1-3	generated-Llama-2-7b-hf-none-none-none	reasons	0	0	0
cast-132-1-3	generated-Llama-2-7b-hf-none-none-none	implications	0	0	0
cast-132-1-3	original-none-none-none-none	not_generic	1	1	1
cast-132-1-3	original-none-none-none-none	valid	1	1	1
cast-132-1-3	original-none-none-none-none	related	1	1	1
cast-132-1-3	original-none-none-none-none	informative	1	1	1
cast-132-1-3	original-none-none-none-none	naive	0	0	0
cast-132-1-3	original-none-none-none-none	savvy	0	0	0
cast-132-1-3	original-none-none-none-none	reasons	0	0	0
cast-132-1-3	original-none-none-none-none	implications	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-none-naive-implications	not_generic	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-none-naive-implications	valid	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-none-naive-implications	related	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-none-naive-implications	informative	0	1	1
cast-132-1-3	generated-Llama-2-13b-hf-none-naive-implications	naive	1	0	0
cast-132-1-3	generated-Llama-2-13b-hf-none-naive-implications	savvy	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-none-naive-implications	reasons	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-none-naive-implications	implications	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-none-savvy-implications	not_generic	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-none-savvy-implications	valid	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-none-savvy-implications	related	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-none-savvy-implications	informative	0	1	1
cast-132-1-3	generated-Llama-2-13b-hf-none-savvy-implications	naive	1	0	0
cast-132-1-3	generated-Llama-2-13b-hf-none-savvy-implications	savvy	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-none-savvy-implications	reasons	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-none-savvy-implications	implications	1	1	1
cast-132-1-3	generated-Llama-2-7b-hf-treccast-none-none	not_generic	0	1	1
cast-132-1-3	generated-Llama-2-7b-hf-treccast-none-none	valid	1	1	1
cast-132-1-3	generated-Llama-2-7b-hf-treccast-none-none	related	0	0	0
cast-132-1-3	generated-Llama-2-7b-hf-treccast-none-none	informative	1	1	1
cast-132-1-3	generated-Llama-2-7b-hf-treccast-none-none	naive	1	0	0
cast-132-1-3	generated-Llama-2-7b-hf-treccast-none-none	savvy	0	0	0
cast-132-1-3	generated-Llama-2-7b-hf-treccast-none-none	reasons	0	0	0
cast-132-1-3	generated-Llama-2-7b-hf-treccast-none-none	implications	0	0	0
cast-132-1-3	generated-gpt-4-none-savvy-reasons	not_generic	1	1	1
cast-132-1-3	generated-gpt-4-none-savvy-reasons	valid	1	1	1
cast-132-1-3	generated-gpt-4-none-savvy-reasons	related	1	1	1
cast-132-1-3	generated-gpt-4-none-savvy-reasons	informative	1	1	1
cast-132-1-3	generated-gpt-4-none-savvy-reasons	naive	0	0	0
cast-132-1-3	generated-gpt-4-none-savvy-reasons	savvy	1	1	1
cast-132-1-3	generated-gpt-4-none-savvy-reasons	reasons	0	0	0
cast-132-1-3	generated-gpt-4-none-savvy-reasons	implications	1	1	1
cast-132-1-3	generated-alpaca-7b-none-savvy-implications	not_generic	1	1	1
cast-132-1-3	generated-alpaca-7b-none-savvy-implications	valid	1	1	1
cast-132-1-3	generated-alpaca-7b-none-savvy-implications	related	1	1	1
cast-132-1-3	generated-alpaca-7b-none-savvy-implications	informative	0	0	0
cast-132-1-3	generated-alpaca-7b-none-savvy-implications	naive	0	0	0
cast-132-1-3	generated-alpaca-7b-none-savvy-implications	savvy	1	0	1
cast-132-1-3	generated-alpaca-7b-none-savvy-implications	reasons	0	1	1
cast-132-1-3	generated-alpaca-7b-none-savvy-implications	implications	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-naive-implications	not_generic	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-naive-implications	valid	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-naive-implications	related	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-naive-implications	informative	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-naive-implications	naive	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-naive-implications	savvy	1	0	0
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-naive-implications	reasons	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-naive-implications	implications	0	0	0
cast-132-1-3	generated-alpaca-7b-none-savvy-reasons	not_generic	1	1	1
cast-132-1-3	generated-alpaca-7b-none-savvy-reasons	valid	1	1	1
cast-132-1-3	generated-alpaca-7b-none-savvy-reasons	related	1	1	1
cast-132-1-3	generated-alpaca-7b-none-savvy-reasons	informative	1	1	1
cast-132-1-3	generated-alpaca-7b-none-savvy-reasons	naive	0	0	0
cast-132-1-3	generated-alpaca-7b-none-savvy-reasons	savvy	1	1	1
cast-132-1-3	generated-alpaca-7b-none-savvy-reasons	reasons	0	0	0
cast-132-1-3	generated-alpaca-7b-none-savvy-reasons	implications	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-savvy-reasons	not_generic	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-savvy-reasons	valid	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-savvy-reasons	related	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-savvy-reasons	informative	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-savvy-reasons	naive	1	0	0
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-savvy-reasons	savvy	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-savvy-reasons	reasons	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-savvy-reasons	implications	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-none-savvy-reasons	not_generic	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-none-savvy-reasons	valid	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-none-savvy-reasons	related	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-none-savvy-reasons	informative	0	1	0
cast-132-1-3	generated-Llama-2-13b-hf-none-savvy-reasons	naive	1	0	1
cast-132-1-3	generated-Llama-2-13b-hf-none-savvy-reasons	savvy	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-none-savvy-reasons	reasons	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-none-savvy-reasons	implications	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-none-none	not_generic	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-none-none	valid	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-none-none	related	1	1	1
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-none-none	informative	1	1	0
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-none-none	naive	1	0	1
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-none-none	savvy	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-none-none	reasons	0	0	0
cast-132-1-3	generated-Llama-2-13b-hf-inquisitive-none-none	implications	1	1	0
cast-132-1-3	generated-alpaca-7b-nudged-questions-none-none	not_generic	1	1	1
cast-132-1-3	generated-alpaca-7b-nudged-questions-none-none	valid	1	1	1
cast-132-1-3	generated-alpaca-7b-nudged-questions-none-none	related	1	1	1
cast-132-1-3	generated-alpaca-7b-nudged-questions-none-none	informative	1	0	0
cast-132-1-3	generated-alpaca-7b-nudged-questions-none-none	naive	0	0	0
cast-132-1-3	generated-alpaca-7b-nudged-questions-none-none	savvy	1	0	0
cast-132-1-3	generated-alpaca-7b-nudged-questions-none-none	reasons	0	0	0
cast-132-1-3	generated-alpaca-7b-nudged-questions-none-none	implications	0	0	1
cast-132-1-3	generated-alpaca-7b-none-none-none	not_generic	1	1	1
cast-132-1-3	generated-alpaca-7b-none-none-none	valid	1	1	1
cast-132-1-3	generated-alpaca-7b-none-none-none	related	1	1	1
cast-132-1-3	generated-alpaca-7b-none-none-none	informative	0	0	0
cast-132-1-3	generated-alpaca-7b-none-none-none	naive	1	0	0
cast-132-1-3	generated-alpaca-7b-none-none-none	savvy	0	0	0
cast-132-1-3	generated-alpaca-7b-none-none-none	reasons	0	0	0
cast-132-1-3	generated-alpaca-7b-none-none-none	implications	0	0	0
cast-132-1-3	generated-gpt-4-none-naive-reasons	not_generic	1	1	1
cast-132-1-3	generated-gpt-4-none-naive-reasons	valid	1	1	1
cast-132-1-3	generated-gpt-4-none-naive-reasons	related	1	1	1
cast-132-1-3	generated-gpt-4-none-naive-reasons	informative	1	1	1
cast-132-1-3	generated-gpt-4-none-naive-reasons	naive	0	0	0
cast-132-1-3	generated-gpt-4-none-naive-reasons	savvy	1	1	1
cast-132-1-3	generated-gpt-4-none-naive-reasons	reasons	0	0	0
cast-132-1-3	generated-gpt-4-none-naive-reasons	implications	0	0	0
